sweep_id,direction,side,swept_swing_level,swing_index,swing_time,swing_confirm_time,breach_time,breach_index,breach_extreme,breach_distance_atr,rejection_close_time,rejection_index,rejection_close_price,bars_breach_to_rejection,frozen_atr,session,year,segment_id
416,bearish,buy_side,1261.006500,37780,2017-08-08 02:15:00,2017-08-08 04:45:00,2017-08-08 08:15:00,37804,1261.268000,0.415291,2017-08-08 08:30:00,37805,1260.866500,1,0.629679,london,2017,414
417,bearish,buy_side,1276.288500,37913,2017-08-09 12:30:00,2017-08-09 15:00:00,2017-08-09 18:45:00,37938,1277.960500,1.217265,2017-08-09 19:15:00,37940,1276.117000,2,1.373571,off_session,2017,415
418,bearish,buy_side,1289.021500,38085,2017-08-11 09:30:00,2017-08-11 12:00:00,2017-08-11 12:45:00,38098,1292.175000,2.324427,2017-08-11 13:00:00,38099,1286.191500,1,1.356679,ny_overlap,2017,417
419,bullish,sell_side,1284.056000,38072,2017-08-11 06:15:00,2017-08-11 08:45:00,2017-08-11 13:00:00,38099,1283.444000,0.340500,2017-08-11 13:15:00,38100,1284.080000,1,1.797357,ny_overlap,2017,417
420,bullish,sell_side,1285.535000,38144,2017-08-14 01:15:00,2017-08-14 03:45:00,2017-08-14 06:15:00,38164,1285.129500,0.428033,2017-08-14 06:30:00,38165,1286.354500,1,0.947357,asian,2017,418
421,bullish,sell_side,1273.066000,38236,2017-08-15 01:15:00,2017-08-15 03:45:00,2017-08-15 06:00:00,38255,1272.813000,0.375291,2017-08-15 06:15:00,38256,1274.140000,1,0.674143,asian,2017,419
422,bullish,sell_side,1272.813000,38255,2017-08-15 06:00:00,2017-08-15 08:30:00,2017-08-15 12:15:00,38280,1270.820000,2.272150,2017-08-15 12:30:00,38281,1272.965000,1,0.877143,ny_overlap,2017,419
423,bullish,sell_side,1269.395500,38364,2017-08-16 10:15:00,2017-08-16 12:45:00,2017-08-16 13:15:00,38376,1267.856000,1.382046,2017-08-16 13:30:00,38377,1269.400000,1,1.113929,ny_overlap,2017,420
424,bearish,buy_side,1289.485000,38423,2017-08-17 02:00:00,2017-08-17 04:30:00,2017-08-17 07:15:00,38444,1290.225000,0.891797,2017-08-17 07:30:00,38445,1287.891000,1,0.829786,london,2017,421
425,bullish,sell_side,1283.219500,38462,2017-08-17 11:45:00,2017-08-17 14:15:00,2017-08-17 14:45:00,38474,1281.618500,0.691022,2017-08-17 15:00:00,38475,1284.091000,1,2.316857,ny_overlap,2017,421
