WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero

MATRIX_TRAIN_2016_2021
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
train_2016_2021,A_immediate_compression_close,fixed_10,1,10,wyckoff_rsi,557,47.04%,46.32%,51.00%,-4.68%,-0.027002,-0.060832,0.006827,92.64%,21,20,516,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,1,10,coin_flip,557,50.81%,43.81%,51.00%,-7.19%,-0.051817,-0.087268,-0.016365,92.64%,19,22,516,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,1,10,prior_momentum,556,46.94%,44.96%,51.00%,-6.04%,-0.031886,-0.066342,0.002570,92.63%,21,20,515,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,1,10,simple_follow,557,61.94%,71.45%,51.00%,20.45%,0.178925,0.150855,0.206994,92.64%,37,4,516,10.000000,0.020000,True
train_2016_2021,A_immediate_compression_close,fixed_10,1,20,wyckoff_rsi,557,47.04%,50.09%,51.00%,-0.91%,-0.027655,-0.076763,0.021453,80.79%,51,56,450,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,1,20,coin_flip,557,50.81%,47.94%,51.00%,-3.06%,-0.083605,-0.134552,-0.032659,80.79%,46,61,450,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,1,20,prior_momentum,556,46.94%,50.54%,51.00%,-0.46%,-0.040127,-0.090368,0.010115,80.76%,56,51,449,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,1,20,simple_follow,557,61.94%,75.22%,51.00%,24.22%,0.260466,0.221226,0.299706,80.79%,90,17,450,10.000000,0.020000,True
train_2016_2021,A_immediate_compression_close,fixed_10,2,10,wyckoff_rsi,557,47.04%,46.32%,34.00%,12.32%,-0.023700,-0.059069,0.011669,95.87%,3,20,534,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,2,10,coin_flip,557,50.81%,43.63%,34.00%,9.63%,-0.053964,-0.092144,-0.015783,95.69%,1,23,533,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,2,10,prior_momentum,556,46.94%,44.96%,34.00%,10.96%,-0.028395,-0.064400,0.007609,95.86%,3,20,533,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,2,10,simple_follow,557,61.94%,71.45%,34.00%,37.45%,0.188209,0.156584,0.219834,98.38%,5,4,548,10.000000,0.020000,True
train_2016_2021,A_immediate_compression_close,fixed_10,2,20,wyckoff_rsi,557,47.04%,49.19%,34.00%,15.19%,-0.028880,-0.081351,0.023592,88.15%,8,58,491,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,2,20,coin_flip,557,50.81%,47.22%,34.00%,13.22%,-0.080928,-0.136291,-0.025564,87.25%,9,62,486,10.000000,0.020000,False
train_2016_2021,A_immediate_compression_close,fixed_10,2,20,prior_momentum,556,46.94%,49.64%,34.00%,15.64%,-0.039186,-0.092444,0.014071,89.57%,6,52,498,10.000000,0.020000,False
